VMName,Host,vCPUs,RAM,Storage,Used,Available,VM Installed On,OS
FZ-LB-2.163,C2-BLD03-CXS-23,3,16,150,139,0,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-JENKINS-2.73,C2-BLD10-CXS-30,6,8,100,43,48,Install Date: Wed 21 Aug 2019, CentOS release 6.2 (Final)
COMMON-SONAR-2.12,C2-BLD12-CXS-32,4,12,200,13,167,Install Date: Thu 08 Mar 2018, CentOS release 6.5 (Final)
FZ-APP-1.142,C2-BLD04-CXS-24,3,16,200,162,24,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-DLPDEVDB-2.247,C2-BLD12-CXS-32,6,7,500,461,7.1,Install Date: Mon 11 Jun 2018, Red Hat Enterprise Linux Server release 7.3 (Maipo)
DSN-LOADING-1.242,C2-BLD12-CXS-32,6,8,150,44,90,Install Date: Mon 05 Mar 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
EK-DEVDB-2.150,C2-BLD04-CXS-24,6,8,200,130,51,Install Date: Tue 12 Apr 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
YAS-ES-1.108,C2-BLD08-CXS-28,6,16,80,17,59,Install Date: Mon 19 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-REGAPI-1.251,C2-BLD13-CXS-33,6,10,110,,,,
COMMON-FINANCESYSTEMS-2.237,C2-BLD14-CXS-34,4,4,250,,,,
RCCL-APP-1.133,C2-BLD04-CXS-24,6,12,300,155,125,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-R2API-2.158,C2-BLD14-CXS-34,4,12,160,109,34,Install Date: Fri 20 Jan 2017, Red Hat Enterprise Linux Server release 6.8 (Santiago)
RCCL-APP-1.155,C2-BLD14-CXS-34,4,8,100,73,19,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
FZ-APP-2.149,C2-BLD03-CXS-23,3,19,100,80,11,Install Date: Mon 25 Jan 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
COMMON-DBDUMP-1.11,C2-BLD14-CXS-34,4,4,610,3.5,2.0,Install Date: Fri 13 May 2016, CentOS release 6.2 (Final)
WZT-DB-2.34,C2-BLD08-CXS-28,4,10,200,55,126,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
YAS-DB-3.63,C2-BLD14-CXS-34,4,8,200,170,11,Install Date: Wed 27 Jul 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
V2-APPDB-1.178,,4,5,250,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DEMO-APP-4.66,C2-BLD02-CXS-22,2,4,60,4.0,48,Install Date: Tue 05 Mar 2019, CentOS release 6.10 (Final)
COMMON-JENKINS-0.168,,2,4,120,,,, Microsoft Windows 7 Professional |C
Control domain on host: C2-BLD08-CXS-28,C2-BLD08-CXS-28,0,4,0,,,,
